Nombre,Marca,Ingredientes,Alérgenos,Nutricion,Origen,URL,Categoria,Tiendas,Paises de Venta,Codigo de barras
Almendras natural - Alesto - 200 g,"Alesto, Lidl",Almendras.,Frutos de cáscara,"Energía | 2598 kj(621 kcal) | 779 kj(186 kcal) | +1 % || Grasas | 53,3 g | 16 g | - || Grasas saturadas | 4,3 g | 1,29 g | -7 % || Hidratos de carbono | 4,8 g | 1,44 g | -47 % || Azúcares | 4,8 g | 1,44 g | +31 % || Fibra alimentaria | 12,1 g | 3,63 g | +5 % || Proteínas | 24,5 g | 7,35 g | +12 % || Sal | 0,003 g | 0,001 g | -99 % || Magnesio | 78 mg | 23,4 mg || Frutas‚ verduras y nueces | 100 % | 100 % || Frutas ‚ verduras ‚ nueces y colza ‚ aceites de nuez y oliva (estimación del análisis de la lista de ingredientes) | 100 % | 100 %",Estados Unidos,https://es.openfoodfacts.org/producto/20724696/almendras-natural-alesto,Alimentos y bebidas de origen vegetal,Lidl,"Bélgica, Bulgaria, República Checa, Francia, Alemania, Grecia, Hungría, Polonia, Portugal, Rumania, Eslovenia, España, Suiza, Reino Unido",20724696
Anacardos - 08 x Lidl 07.25 - 200g,"08 x Lidl 07.25, 10 x Lidl 07.25, 12 x Lidl 07.25, 14 x Lidl 07.25, 20 x Lidl 10.25, Alesto",Anacardos.,Frutos de cáscara,"Energía | 2510 kj(600 kcal) | 753 kj(180 kcal) | - || Grasas | 47,6 g | 14,3 g | +2 % || Grasas saturadas | 9 g | 2,7 g | +8 % || Grasas monoinsaturadas | 8,91 g | 2,67 g || Grasas poliinsaturadas | 2,67 g | 0,801 g || Hidratos de carbono | 19,8 g | 5,94 g | -19 % || Azúcares | 6,5 g | 1,95 g | +8 % || Fibra alimentaria | 5,2 g | 1,56 g | +27 % || Proteínas | 20,5 g | 6,15 g | +7 % || Sal | 0,02 g | 0,006 g | -96 % || Magnesio | 260 mg | 78 mg || Frutas‚ verduras y nueces | 100 % | 100 % || Frutas ‚ verduras ‚ nueces y colza ‚ aceites de nuez y oliva (estimación del análisis de la lista de ingredientes) | 100 % | 100 %",sk:nepochádza z EU,https://es.openfoodfacts.org/producto/20267605/anacardos-08-x-lidl-07-25,Alimentos y bebidas de origen vegetal,Lidl,"Austria, Bélgica, Croacia, Francia, Alemania, Hungría, Italia, Polonia, España, Suecia, Suiza, Reino Unido",20267605
Almendras natural - Alesto - 200 g,"Alesto, Lidl",Almendras.,Frutos de cáscara,"Energía | 2598 kj(621 kcal) | 779 kj(186 kcal) | +1 % || Grasas | 53,3 g | 16 g | - || Grasas saturadas | 4,3 g | 1,29 g | -7 % || Hidratos de carbono | 4,8 g | 1,44 g | -47 % || Azúcares | 4,8 g | 1,44 g | +31 % || Fibra alimentaria | 12,1 g | 3,63 g | +5 % || Proteínas | 24,5 g | 7,35 g | +12 % || Sal | 0,003 g | 0,001 g | -99 % || Magnesio | 78 mg | 23,4 mg || Frutas‚ verduras y nueces | 100 % | 100 % || Frutas ‚ verduras ‚ nueces y colza ‚ aceites de nuez y oliva (estimación del análisis de la lista de ingredientes) | 100 % | 100 %",Estados Unidos,https://es.openfoodfacts.org/producto/20724696/almendras-natural-alesto,Alimentos de origen vegetal,Lidl,"Bélgica, Bulgaria, República Checa, Francia, Alemania, Grecia, Hungría, Polonia, Portugal, Rumania, Eslovenia, España, Suiza, Reino Unido",20724696
Anacardos - 08 x Lidl 07.25 - 200g,"08 x Lidl 07.25, 10 x Lidl 07.25, 12 x Lidl 07.25, 14 x Lidl 07.25, 20 x Lidl 10.25, Alesto",Anacardos.,Frutos de cáscara,"Energía | 2510 kj(600 kcal) | 753 kj(180 kcal) | - || Grasas | 47,6 g | 14,3 g | +2 % || Grasas saturadas | 9 g | 2,7 g | +8 % || Grasas monoinsaturadas | 8,91 g | 2,67 g || Grasas poliinsaturadas | 2,67 g | 0,801 g || Hidratos de carbono | 19,8 g | 5,94 g | -19 % || Azúcares | 6,5 g | 1,95 g | +8 % || Fibra alimentaria | 5,2 g | 1,56 g | +27 % || Proteínas | 20,5 g | 6,15 g | +7 % || Sal | 0,02 g | 0,006 g | -96 % || Magnesio | 260 mg | 78 mg || Frutas‚ verduras y nueces | 100 % | 100 % || Frutas ‚ verduras ‚ nueces y colza ‚ aceites de nuez y oliva (estimación del análisis de la lista de ingredientes) | 100 % | 100 %",sk:nepochádza z EU,https://es.openfoodfacts.org/producto/20267605/anacardos-08-x-lidl-07-25,Alimentos de origen vegetal,Lidl,"Austria, Bélgica, Croacia, Francia, Alemania, Hungría, Italia, Polonia, España, Suecia, Suiza, Reino Unido",20267605
